/* FRONTEND */
"Credit Limit","Credit Limit"
"Purchase Order Number","Purchase Order Number"
"Purchase Order Number:","Purchase Order Number:"
"Total Credit Limit","Total Credit Limit"
"Your total credit limit is: ","Your total credit limit is: "
"Used Credit Limit","Used Credit Limit"
"Your used credit limit is: ","Your used credit limit is: "
"Available Credit Limit","Available Credit Limit"
"Your available credit limit is: ","Your available credit limit is: "

/* ADMIN */
"Add Credit Limit","Add Credit Limit"
"ID","ID"
"Amount","Amount"
"Credit Limit","Credit Limit"
"Edit","Edit"
"Name","Name"
"Email","Email"
"Telephone","Telephone"
"ZIP/Post Code","ZIP/Post Code"
"Country","Country"
"State/Province","State/Province"
"Signed Up From","Signed Up From"
"Customer","Customer"
"General Information","General Information"
"Rule Information","Rule Information"
"Limits","Limits"
"User ID","User ID"
"First Name","First Name"
"Last Name","Last Name"
"Email","Email"
"Edit Rule","Edit Rule"
"Create Rule","Create Rule"
"Individual Customers","Individual Customers"
"Manage Limit Rules","Manage Limit Rules"
"Purchase Order Number","Purchase Order Number"
"Edit Credit Limit","Edit Credit Limit"
"Add Credit Limit","Add Credit Limit"
"This no longer exists.","This no longer exists."
"Rule %s Successfully Saved","Rule %s Successfully Saved"
"Record Successfully Deleted","Record Successfully Deleted"
"Enabled and mandatory","Enabled and mandatory"
"Enabled","Enabled"
"Disabled","Disabled"
"Total credit limit: ","Total credit limit: "
"Used credit limit: ","Used credit limit: "
"Available credit limit: ","Available credit limit: "
"Purchase Order Number:","Purchase Order Number:"
