/* FRONTEND */
"Credit Limit,"Kredietlimiet"
"Purchase Order Number","Inkoopordernummer"
"Purchase Order Number:","Inkoopordernummer:"
"Total Credit Limit","Maximale kredietlimiet"
"Your total credit limit is: ","Je maximale kredietbedrag is: "
"Used Credit Limit","Krediet in gebruik"
"Your used credit limit is: ","Je gebruikte krediet is: "
"Available Credit Limit","Beschikbare hoeveelheid krediet"
"Your available credit limit is: ","Je beschikbare krediet is: "

/* ADMIN */
"Add Credit Limit","Voeg kredietlimiet toe"
"ID","ID"
"Amount","Bedrag"
"Edit","Wijzig"
"Name","Naam"
"Email","E-mail"
"Telephone","Telefoon"
"ZIP/Post Code","Postcode"
"Country","Land"
"State/Province","Provincie"
"Signed Up From","Aangemeld vanaf"
"Customer","Klant"
"General Information","Algemene informatie"
"Rule Information","Regelinformatie"
"Limits","Limieten"
"User ID","Gebruikers-ID"
"First Name","Voornaam"
"Last Name","Achternaam"
"Email","E-mail"
"Edit Rule","Regel wijzigen"
"Create Rule","Regel aanmaken"
"Individual Customers","Klanten"
"Manage Limit Rules","Beheer limietregels"
"Purchase Order Number","Inkoopordernummer"
"Edit Credit Limit","Wijzig kredietlimiet"
"Add Credit Limit","Voeg kredietlimiet toe"
"This no longer exists.","Dit is niet meer aanwezig."
"Rule %s Successfully Saved","Regel %s is opgeslagen"
"Record Successfully Deleted","Regel is verwijderd"
"Enabled and mandatory","Actief en verplicht"
"Enabled","Actief"
"Disabled","Uitgeschakeld"
"Total Credit Limit","Maximaal krediet"
"Used credit limit: ","Gebruikt krediet: "
"Available credit limit: ","Beschikbaar krediet: "
"Purchase Order Number:","Inkoopordernummer:"
